time,connectivity
19:46:27,"[1, 1, 1, 1, 1, 1, 1]"
19:46:31,"[1, 1, 0, 1, 1, 0, 1]"
19:46:35,"[1, 1, 1, 0, 0, 1, 1]"
19:46:38,"[1, 1, 0, 1, 1, 1, 1]"
19:46:42,"[1, 0, 1, 1, 0, 1, 1]"
19:46:45,"[1, 0, 1, 0, 0, 1, 1]"
19:46:49,"[1, 1, 1, 1, 1, 0, 1]"
19:46:52,"[1, 1, 1, 0, 0, 0, 1]"
19:46:56,"[1, 1, 1, 1, 0, 0, 1]"
19:46:59,"[1, 0, 1, 0, 1, 1, 1]"
19:47:02,"[1, 1, 0, 0, 0, 0, 1]"
19:47:06,"[1, 0, 1, 1, 1, 0, 1]"
19:47:10,"[1, 1, 1, 0, 1, 1, 1]"
19:47:13,"[1, 1, 1, 0, 1, 1, 1]"
19:47:17,"[1, 1, 0, 0, 0, 1, 1]"
19:47:21,"[1, 0, 1, 0, 0, 0, 1]"
19:47:24,"[1, 0, 0, 1, 0, 1, 1]"
19:47:28,"[1, 0, 0, 0, 1, 1, 1]"
19:47:31,"[1, 0, 0, 1, 1, 1, 1]"
19:47:34,"[1, 0, 1, 0, 0, 0, 1]"
19:47:38,"[1, 1, 1, 0, 0, 1, 1]"
19:47:42,"[1, 0, 0, 0, 0, 0, 1]"
19:47:45,"[1, 1, 1, 1, 1, 0, 1]"
19:47:49,"[1, 1, 1, 0, 1, 0, 1]"
19:47:52,"[1, 0, 1, 1, 1, 0, 1]"
19:47:56,"[1, 1, 0, 0, 1, 1, 1]"
19:47:59,"[1, 0, 1, 1, 1, 1, 1]"
19:48:02,"[1, 0, 0, 1, 0, 1, 1]"
19:48:06,"[1, 1, 0, 0, 0, 1, 1]"
19:48:10,"[1, 1, 0, 0, 0, 0, 1]"
19:48:13,"[1, 0, 0, 0, 0, 1, 1]"
19:48:16,"[1, 1, 0, 0, 0, 1, 1]"
19:48:20,"[1, 1, 1, 0, 0, 1, 1]"
19:48:23,"[1, 0, 0, 0, 1, 1, 1]"
19:48:27,"[1, 0, 1, 0, 1, 0, 1]"
19:48:31,"[1, 0, 0, 0, 1, 0, 1]"
19:48:34,"[1, 0, 0, 1, 0, 1, 1]"
19:48:38,"[1, 1, 1, 0, 1, 0, 1]"
19:48:41,"[1, 0, 1, 1, 0, 0, 1]"
19:48:45,"[1, 1, 0, 0, 0, 1, 1]"
19:48:48,"[1, 1, 0, 0, 1, 0, 1]"
19:48:51,"[1, 0, 1, 1, 1, 1, 1]"
19:48:55,"[1, 1, 0, 0, 1, 0, 1]"
19:48:58,"[1, 1, 1, 0, 1, 1, 1]"
19:49:02,"[1, 1, 0, 0, 0, 1, 1]"
19:49:06,"[1, 0, 1, 1, 0, 0, 1]"
19:49:10,"[1, 0, 1, 0, 1, 0, 1]"
19:49:13,"[1, 1, 0, 1, 0, 0, 1]"
19:49:17,"[1, 0, 1, 1, 0, 1, 1]"
19:49:21,"[1, 1, 0, 0, 1, 1, 1]"
19:49:24,"[1, 1, 1, 0, 0, 1, 1]"
19:49:28,"[1, 1, 0, 0, 1, 0, 1]"
19:49:32,"[1, 0, 0, 1, 1, 0, 1]"
19:49:35,"[1, 0, 0, 0, 1, 1, 1]"
19:49:39,"[1, 0, 0, 0, 0, 1, 1]"
19:49:43,"[1, 0, 1, 1, 0, 1, 1]"
19:49:46,"[1, 0, 0, 1, 1, 1, 1]"
19:49:50,"[1, 0, 1, 1, 0, 1, 1]"
19:49:54,"[1, 0, 1, 0, 1, 1, 1]"
19:49:57,"[1, 0, 0, 1, 1, 1, 1]"
19:50:00,"[1, 0, 1, 0, 0, 0, 1]"
19:50:04,"[1, 0, 0, 0, 1, 1, 1]"
19:50:07,"[1, 1, 1, 0, 0, 1, 1]"
19:50:11,"[1, 1, 0, 1, 0, 1, 1]"
19:50:14,"[1, 1, 0, 0, 0, 1, 1]"
19:50:17,"[1, 0, 0, 0, 1, 1, 1]"
19:50:21,"[1, 1, 0, 1, 0, 0, 1]"
19:50:24,"[1, 1, 1, 1, 0, 0, 1]"
19:50:28,"[1, 0, 0, 1, 0, 0, 1]"
19:50:31,"[1, 0, 0, 0, 1, 0, 1]"
19:50:35,"[1, 0, 1, 0, 0, 1, 1]"
19:50:38,"[1, 0, 0, 1, 0, 0, 1]"
19:50:42,"[1, 0, 0, 1, 1, 1, 1]"
19:50:46,"[1, 0, 0, 1, 0, 0, 1]"
19:50:50,"[1, 1, 1, 0, 1, 1, 1]"
19:50:53,"[1, 0, 0, 1, 0, 1, 1]"
19:50:57,"[1, 0, 0, 1, 1, 1, 1]"
19:51:00,"[1, 0, 0, 0, 1, 1, 1]"
19:51:04,"[1, 1, 0, 1, 0, 1, 1]"
19:51:08,"[1, 1, 1, 1, 1, 0, 1]"
19:51:12,"[1, 1, 0, 1, 0, 0, 1]"
19:51:15,"[1, 1, 0, 0, 1, 1, 1]"
19:51:19,"[1, 0, 0, 0, 0, 0, 1]"
19:51:23,"[1, 1, 0, 1, 1, 1, 1]"
19:51:26,"[1, 1, 0, 1, 1, 0, 1]"
19:51:30,"[1, 0, 0, 0, 0, 1, 1]"
19:51:33,"[1, 0, 0, 1, 1, 1, 1]"
19:51:37,"[1, 0, 1, 0, 1, 0, 1]"
19:51:41,"[1, 0, 0, 0, 0, 0, 1]"
19:51:44,"[1, 0, 1, 1, 1, 1, 1]"
19:51:48,"[1, 0, 0, 0, 1, 1, 1]"
19:51:51,"[1, 1, 0, 1, 1, 1, 1]"
19:51:55,"[1, 1, 1, 0, 0, 0, 1]"
19:51:58,"[1, 0, 1, 0, 0, 1, 1]"
19:52:02,"[1, 0, 1, 0, 0, 0, 1]"
19:52:06,"[1, 0, 0, 0, 0, 1, 1]"
19:52:09,"[1, 1, 0, 1, 0, 1, 1]"
19:52:13,"[1, 0, 0, 0, 0, 0, 1]"
19:52:17,"[1, 1, 0, 0, 1, 1, 1]"
19:52:20,"[1, 1, 1, 1, 1, 1, 1]"
19:52:24,"[1, 0, 0, 1, 1, 1, 1]"
19:52:28,"[1, 1, 1, 0, 0, 1, 1]"
19:52:31,"[1, 0, 0, 1, 1, 1, 1]"
19:52:34,"[1, 1, 0, 1, 0, 1, 1]"
19:52:37,"[1, 1, 0, 1, 0, 0, 1]"
19:52:41,"[1, 0, 0, 1, 0, 1, 1]"
19:52:44,"[1, 0, 1, 1, 0, 1, 1]"
19:52:48,"[1, 1, 0, 1, 0, 1, 1]"
19:52:52,"[1, 0, 1, 0, 1, 1, 1]"
19:52:56,"[1, 0, 1, 0, 1, 0, 1]"
19:52:59,"[1, 1, 1, 1, 1, 1, 1]"
19:53:02,"[1, 0, 0, 1, 0, 0, 1]"
19:53:05,"[1, 0, 1, 0, 0, 0, 1]"
19:53:09,"[1, 1, 0, 0, 0, 0, 1]"
19:53:13,"[1, 0, 0, 0, 1, 0, 1]"
19:53:17,"[1, 0, 1, 0, 0, 0, 1]"
19:53:20,"[1, 1, 1, 1, 1, 1, 1]"
19:53:23,"[1, 0, 1, 1, 1, 0, 1]"
19:53:27,"[1, 0, 0, 0, 0, 0, 1]"
19:53:30,"[1, 0, 0, 0, 1, 0, 1]"
19:53:34,"[1, 1, 1, 1, 0, 0, 1]"
19:53:38,"[1, 1, 0, 1, 1, 0, 1]"
19:53:41,"[1, 1, 1, 1, 0, 1, 1]"
19:53:45,"[1, 1, 0, 1, 0, 1, 1]"
19:53:48,"[1, 0, 1, 1, 0, 0, 1]"
19:53:52,"[1, 1, 0, 1, 1, 0, 1]"
19:53:56,"[1, 0, 1, 0, 1, 0, 1]"
19:54:00,"[1, 0, 1, 1, 1, 0, 1]"
19:54:03,"[1, 1, 0, 1, 1, 0, 1]"
19:54:06,"[1, 1, 0, 0, 1, 1, 1]"
19:54:10,"[1, 0, 1, 0, 0, 0, 1]"
19:54:14,"[1, 1, 1, 1, 0, 1, 1]"
19:54:17,"[1, 1, 0, 1, 1, 0, 1]"
19:54:21,"[1, 0, 0, 0, 1, 0, 1]"
19:54:24,"[1, 0, 1, 1, 0, 0, 1]"
19:54:28,"[1, 1, 1, 0, 0, 1, 1]"
19:54:31,"[1, 1, 1, 1, 0, 0, 1]"
19:54:34,"[1, 0, 1, 1, 0, 1, 1]"
19:54:37,"[1, 1, 0, 0, 0, 0, 1]"
19:54:41,"[1, 1, 0, 0, 0, 0, 1]"
19:54:44,"[1, 1, 1, 1, 1, 1, 1]"
19:54:47,"[1, 0, 0, 0, 1, 0, 1]"
19:54:51,"[1, 0, 1, 0, 1, 1, 1]"
19:54:54,"[1, 1, 1, 0, 1, 1, 1]"
19:54:58,"[1, 1, 0, 1, 0, 1, 1]"
19:55:02,"[1, 1, 0, 0, 0, 0, 1]"
19:55:05,"[1, 0, 0, 1, 0, 1, 1]"
19:55:09,"[1, 1, 0, 0, 0, 0, 1]"
19:55:13,"[1, 1, 1, 0, 1, 0, 1]"
19:55:16,"[1, 1, 1, 1, 1, 0, 1]"
19:55:20,"[1, 1, 0, 1, 0, 1, 1]"
19:55:24,"[1, 1, 0, 0, 0, 0, 1]"
19:55:27,"[1, 1, 1, 1, 0, 1, 1]"
19:55:31,"[1, 1, 1, 0, 1, 0, 1]"
19:55:34,"[1, 0, 1, 0, 1, 1, 1]"
19:55:37,"[1, 1, 0, 1, 0, 0, 1]"
19:55:41,"[1, 1, 0, 1, 0, 1, 1]"
19:55:44,"[1, 1, 0, 1, 1, 0, 1]"
19:55:47,"[1, 0, 0, 0, 0, 1, 1]"
19:55:51,"[1, 1, 0, 1, 1, 1, 1]"
19:55:54,"[1, 0, 1, 0, 1, 0, 1]"
19:55:57,"[1, 0, 0, 1, 0, 1, 1]"
19:56:00,"[1, 1, 1, 0, 1, 1, 1]"
19:56:04,"[1, 0, 1, 1, 1, 1, 1]"
19:56:08,"[1, 0, 1, 0, 1, 1, 1]"
19:56:12,"[1, 1, 0, 0, 0, 0, 1]"
19:56:15,"[1, 1, 0, 0, 1, 1, 1]"
19:56:19,"[1, 1, 1, 1, 1, 1, 1]"
19:56:23,"[1, 1, 0, 0, 0, 0, 1]"
19:56:26,"[1, 0, 1, 0, 1, 1, 1]"
19:56:30,"[1, 0, 1, 1, 0, 0, 1]"
19:56:33,"[1, 0, 1, 1, 0, 1, 1]"
19:56:36,"[1, 0, 0, 1, 1, 1, 1]"
19:56:40,"[1, 1, 1, 0, 0, 0, 1]"
19:56:43,"[1, 1, 1, 1, 0, 1, 1]"
19:56:47,"[1, 0, 0, 0, 0, 0, 1]"
19:56:50,"[1, 1, 0, 1, 0, 0, 1]"
19:56:54,"[1, 1, 1, 0, 1, 1, 1]"
19:56:58,"[1, 1, 0, 0, 0, 0, 1]"
19:57:01,"[1, 0, 1, 1, 0, 1, 1]"
19:57:04,"[1, 1, 0, 0, 1, 1, 1]"
19:57:07,"[1, 1, 1, 1, 0, 1, 1]"
19:57:11,"[1, 1, 0, 1, 0, 0, 1]"
19:57:14,"[1, 1, 0, 0, 0, 1, 1]"
19:57:18,"[1, 1, 0, 1, 0, 0, 1]"
19:57:21,"[1, 0, 0, 0, 0, 1, 1]"
19:57:24,"[1, 0, 0, 0, 1, 1, 1]"
19:57:28,"[1, 1, 0, 0, 0, 1, 1]"
19:57:31,"[1, 1, 1, 1, 1, 1, 1]"
19:57:35,"[1, 0, 1, 1, 1, 0, 1]"
19:57:38,"[1, 0, 0, 0, 1, 0, 1]"
19:57:41,"[1, 1, 0, 0, 1, 0, 1]"
19:57:45,"[1, 0, 0, 1, 1, 0, 1]"
19:57:49,"[1, 0, 1, 1, 0, 1, 1]"
20:03:18,"[1, 1, 0, 1, 1, 1, 1]"
20:03:21,"[1, 0, 0, 1, 0, 0, 1]"
20:03:24,"[1, 1, 1, 0, 0, 0, 1]"
20:03:28,"[1, 0, 1, 0, 1, 1, 1]"
20:03:31,"[1, 0, 0, 0, 0, 1, 1]"
20:03:35,"[1, 0, 1, 0, 0, 0, 1]"
20:03:38,"[1, 0, 1, 1, 0, 1, 1]"
20:03:42,"[1, 1, 0, 0, 1, 1, 1]"
20:03:46,"[1, 0, 0, 1, 1, 1, 1]"
20:03:50,"[1, 1, 1, 1, 0, 1, 1]"
20:03:53,"[1, 1, 1, 0, 1, 1, 1]"
20:03:57,"[1, 1, 0, 0, 1, 1, 1]"
20:04:00,"[1, 0, 1, 0, 0, 1, 1]"
20:04:04,"[1, 1, 1, 0, 0, 0, 1]"
20:04:07,"[1, 0, 0, 1, 0, 1, 1]"
20:04:11,"[1, 0, 0, 1, 0, 1, 1]"
20:04:14,"[1, 0, 1, 1, 0, 1, 1]"
20:04:18,"[1, 1, 0, 0, 1, 1, 1]"
20:04:22,"[1, 1, 1, 1, 1, 1, 1]"
20:04:25,"[1, 1, 0, 1, 0, 1, 1]"
20:04:28,"[1, 1, 1, 0, 1, 1, 1]"
20:04:31,"[1, 1, 1, 1, 1, 0, 1]"
20:04:35,"[1, 0, 0, 1, 0, 0, 1]"
20:04:39,"[1, 0, 0, 1, 0, 0, 1]"
20:04:42,"[1, 1, 1, 0, 0, 0, 1]"
20:04:46,"[1, 1, 1, 1, 1, 0, 1]"
20:04:50,"[1, 0, 0, 1, 1, 1, 1]"
20:04:53,"[1, 1, 0, 0, 0, 1, 1]"
20:04:57,"[1, 0, 1, 1, 1, 0, 1]"
20:05:01,"[1, 0, 0, 1, 0, 0, 1]"
20:05:04,"[1, 0, 0, 1, 0, 0, 1]"
20:05:08,"[1, 0, 0, 1, 1, 0, 1]"
20:05:12,"[1, 1, 0, 0, 1, 0, 1]"
20:05:15,"[1, 1, 1, 0, 1, 1, 1]"
20:05:19,"[1, 0, 1, 1, 0, 0, 1]"
20:05:23,"[1, 1, 1, 1, 0, 0, 1]"
20:05:27,"[1, 1, 0, 0, 1, 0, 1]"
20:05:31,"[1, 0, 0, 1, 0, 0, 1]"
20:05:34,"[1, 1, 0, 1, 0, 0, 1]"
20:05:38,"[1, 1, 1, 1, 0, 0, 1]"
20:05:41,"[1, 0, 0, 1, 1, 1, 1]"
20:05:45,"[1, 0, 1, 1, 0, 0, 1]"
20:05:49,"[1, 0, 0, 1, 0, 0, 1]"
20:05:53,"[1, 1, 0, 0, 0, 0, 1]"
20:05:57,"[1, 0, 0, 0, 0, 1, 1]"
20:06:00,"[1, 1, 0, 1, 1, 1, 1]"
20:06:03,"[1, 0, 1, 1, 1, 0, 1]"
20:06:07,"[1, 1, 0, 0, 1, 1, 1]"
20:06:10,"[1, 1, 0, 1, 0, 1, 1]"
20:06:13,"[1, 1, 0, 0, 1, 1, 1]"
20:06:16,"[1, 0, 0, 0, 1, 0, 1]"
20:06:20,"[1, 0, 0, 0, 1, 1, 1]"
20:06:23,"[1, 0, 0, 1, 1, 1, 1]"
20:06:26,"[1, 0, 0, 1, 0, 0, 1]"
20:06:30,"[1, 1, 0, 1, 0, 0, 1]"
20:06:33,"[1, 1, 0, 1, 1, 0, 1]"
20:06:36,"[1, 1, 0, 0, 0, 0, 1]"
20:06:40,"[1, 0, 1, 1, 0, 1, 1]"
20:06:43,"[1, 0, 0, 0, 0, 0, 1]"
20:06:47,"[1, 0, 1, 0, 0, 1, 1]"
20:06:50,"[1, 0, 1, 1, 1, 1, 1]"
20:06:54,"[1, 1, 1, 0, 1, 0, 1]"
20:06:58,"[1, 0, 1, 1, 1, 1, 1]"
20:07:01,"[1, 0, 1, 0, 0, 0, 1]"
20:07:04,"[1, 0, 0, 0, 1, 0, 1]"
20:07:08,"[1, 1, 0, 1, 1, 0, 1]"
20:07:11,"[1, 0, 0, 0, 0, 0, 1]"
20:07:15,"[1, 1, 0, 0, 0, 0, 1]"
20:07:18,"[1, 1, 0, 0, 1, 1, 1]"
20:07:22,"[1, 1, 0, 1, 1, 0, 1]"
20:07:26,"[1, 0, 1, 1, 1, 1, 1]"
20:07:29,"[1, 1, 1, 1, 1, 0, 1]"
20:07:32,"[1, 1, 0, 1, 1, 0, 1]"
20:07:36,"[1, 1, 1, 0, 0, 0, 1]"
20:07:39,"[1, 1, 0, 0, 0, 0, 1]"
20:07:43,"[1, 0, 0, 0, 1, 1, 1]"
20:07:46,"[1, 0, 0, 1, 1, 1, 1]"
20:07:50,"[1, 0, 1, 1, 0, 1, 1]"
20:07:54,"[1, 1, 1, 0, 0, 0, 1]"
20:07:57,"[1, 0, 0, 1, 0, 0, 1]"
20:08:01,"[1, 0, 0, 0, 1, 0, 1]"
20:08:04,"[1, 0, 0, 0, 0, 1, 1]"
20:08:07,"[1, 0, 1, 1, 1, 0, 1]"
20:08:11,"[1, 1, 0, 0, 1, 0, 1]"
20:08:15,"[1, 1, 1, 1, 1, 0, 1]"
20:08:18,"[1, 1, 0, 0, 0, 0, 1]"
20:08:22,"[1, 0, 0, 0, 1, 0, 1]"
20:08:25,"[1, 1, 1, 0, 0, 0, 1]"
20:08:28,"[1, 0, 0, 1, 0, 0, 1]"
20:08:31,"[1, 0, 1, 1, 0, 1, 1]"
20:08:35,"[1, 1, 0, 0, 0, 0, 1]"
20:08:39,"[1, 0, 0, 0, 0, 0, 1]"
20:08:42,"[1, 0, 1, 0, 1, 0, 1]"
20:08:45,"[1, 0, 0, 0, 0, 1, 1]"
20:08:49,"[1, 1, 1, 1, 1, 0, 1]"
20:08:52,"[1, 0, 0, 1, 0, 0, 1]"
20:08:56,"[1, 0, 1, 0, 1, 0, 1]"
20:08:59,"[1, 0, 1, 0, 1, 1, 1]"
20:09:03,"[1, 1, 0, 1, 1, 0, 1]"
20:09:06,"[1, 0, 1, 0, 1, 0, 1]"
20:09:10,"[1, 0, 1, 0, 0, 1, 1]"
20:09:14,"[1, 1, 0, 0, 0, 1, 1]"
20:09:17,"[1, 0, 1, 1, 1, 1, 1]"
20:09:21,"[1, 0, 0, 1, 0, 0, 1]"
20:09:24,"[1, 1, 0, 1, 1, 1, 1]"
20:09:28,"[1, 1, 1, 1, 0, 0, 1]"
20:09:31,"[1, 1, 0, 0, 0, 0, 1]"
20:09:34,"[1, 0, 1, 1, 1, 0, 1]"
20:09:38,"[1, 1, 1, 0, 1, 1, 1]"
20:09:42,"[1, 0, 1, 0, 1, 0, 1]"
20:09:46,"[1, 1, 1, 1, 1, 0, 1]"
20:09:49,"[1, 1, 0, 1, 1, 0, 1]"
20:09:53,"[1, 1, 1, 0, 1, 1, 1]"
20:09:56,"[1, 1, 1, 0, 1, 0, 1]"
20:10:00,"[1, 0, 0, 0, 0, 1, 1]"
20:10:04,"[1, 0, 1, 0, 1, 1, 1]"
20:10:07,"[1, 0, 1, 0, 0, 1, 1]"
20:10:11,"[1, 0, 0, 1, 0, 1, 1]"
20:10:14,"[1, 0, 0, 0, 1, 1, 1]"
20:10:18,"[1, 0, 1, 1, 0, 0, 1]"
20:10:22,"[1, 1, 0, 1, 1, 1, 1]"
20:10:25,"[1, 0, 0, 0, 1, 0, 1]"
20:10:28,"[1, 1, 1, 1, 1, 1, 1]"
20:10:32,"[1, 1, 0, 0, 1, 0, 1]"
20:10:35,"[1, 1, 1, 0, 1, 0, 1]"
20:10:39,"[1, 1, 0, 0, 1, 1, 1]"
20:10:43,"[1, 1, 1, 0, 0, 1, 1]"
20:10:47,"[1, 0, 0, 0, 0, 1, 1]"
20:10:50,"[1, 0, 1, 1, 0, 1, 1]"
20:10:53,"[1, 0, 1, 0, 0, 1, 1]"
20:10:56,"[1, 1, 0, 0, 1, 0, 1]"
20:11:00,"[1, 0, 1, 1, 0, 0, 1]"
20:11:03,"[1, 1, 0, 1, 1, 1, 1]"
20:11:07,"[1, 0, 0, 1, 0, 1, 1]"
20:11:10,"[1, 1, 1, 1, 0, 1, 1]"
20:11:13,"[1, 0, 0, 1, 1, 1, 1]"
20:11:16,"[1, 0, 1, 0, 1, 1, 1]"
20:11:20,"[1, 1, 0, 0, 0, 0, 1]"
20:11:24,"[1, 0, 1, 1, 1, 0, 1]"
20:11:27,"[1, 0, 0, 1, 0, 0, 1]"
20:11:31,"[1, 1, 0, 0, 1, 0, 1]"
20:11:34,"[1, 0, 0, 0, 1, 1, 1]"
20:11:38,"[1, 1, 0, 1, 1, 0, 1]"
20:11:41,"[1, 0, 1, 1, 1, 0, 1]"
20:11:45,"[1, 0, 0, 1, 1, 1, 1]"
20:11:49,"[1, 1, 1, 0, 0, 1, 1]"
20:11:52,"[1, 1, 1, 0, 0, 0, 1]"
20:11:56,"[1, 0, 1, 1, 1, 1, 1]"
20:11:59,"[1, 1, 1, 1, 1, 1, 1]"
20:12:03,"[1, 1, 0, 0, 1, 1, 1]"
20:12:07,"[1, 1, 1, 0, 0, 0, 1]"
20:12:10,"[1, 0, 1, 1, 0, 1, 1]"
20:12:13,"[1, 0, 1, 0, 1, 1, 1]"
20:12:17,"[1, 1, 0, 1, 0, 1, 1]"
20:12:21,"[1, 0, 0, 1, 1, 0, 1]"
20:12:24,"[1, 0, 1, 0, 1, 1, 1]"
20:12:28,"[1, 0, 0, 0, 1, 0, 1]"
20:12:32,"[1, 1, 0, 1, 1, 1, 1]"
20:12:35,"[1, 1, 0, 0, 1, 0, 1]"
20:12:38,"[1, 1, 0, 1, 1, 0, 1]"
20:12:42,"[1, 0, 0, 0, 1, 0, 1]"
20:12:45,"[1, 1, 0, 1, 0, 1, 1]"
20:12:49,"[1, 0, 1, 1, 0, 1, 1]"
20:12:53,"[1, 1, 1, 0, 1, 1, 1]"
20:12:57,"[1, 0, 1, 0, 1, 1, 1]"
20:13:01,"[1, 0, 0, 0, 1, 1, 1]"
20:13:04,"[1, 1, 0, 1, 1, 1, 1]"
20:13:07,"[1, 1, 0, 1, 1, 1, 1]"
20:13:11,"[1, 0, 0, 0, 1, 0, 1]"
20:13:15,"[1, 1, 0, 1, 0, 1, 1]"
20:13:18,"[1, 1, 0, 1, 0, 0, 1]"
20:13:22,"[1, 0, 0, 0, 0, 0, 1]"
20:13:25,"[1, 0, 1, 0, 0, 1, 1]"
20:13:28,"[1, 0, 0, 1, 1, 1, 1]"
20:13:32,"[1, 0, 0, 1, 0, 0, 1]"
20:13:35,"[1, 0, 0, 0, 1, 0, 1]"
20:13:38,"[1, 0, 1, 0, 0, 0, 1]"
20:13:42,"[1, 0, 1, 1, 1, 0, 1]"
20:13:46,"[1, 0, 0, 0, 1, 1, 1]"
20:13:49,"[1, 0, 0, 0, 0, 0, 1]"
20:13:53,"[1, 0, 0, 0, 1, 0, 1]"
20:13:57,"[1, 0, 1, 0, 1, 0, 1]"
20:14:01,"[1, 0, 0, 0, 1, 1, 1]"
20:14:05,"[1, 1, 1, 0, 1, 0, 1]"
20:14:08,"[1, 1, 0, 1, 0, 1, 1]"
20:14:12,"[1, 0, 1, 0, 1, 0, 1]"
20:14:15,"[1, 1, 0, 0, 1, 0, 1]"
20:14:19,"[1, 0, 1, 1, 1, 0, 1]"
20:14:22,"[1, 1, 0, 0, 0, 0, 1]"
20:14:25,"[1, 1, 1, 1, 1, 0, 1]"
20:14:28,"[1, 1, 1, 0, 1, 1, 1]"
20:14:32,"[1, 0, 0, 0, 0, 0, 1]"
20:26:28,"[1, 1, 1, 0, 0, 0, 1]"
20:26:31,"[1, 0, 1, 1, 0, 0, 1]"
20:26:35,"[1, 1, 1, 1, 1, 0, 1]"
20:26:38,"[1, 0, 1, 0, 0, 1, 1]"
20:26:42,"[1, 1, 1, 1, 0, 0, 1]"
20:26:46,"[1, 1, 0, 0, 1, 1, 1]"
20:26:49,"[1, 0, 0, 0, 0, 1, 1]"
20:26:53,"[1, 1, 0, 0, 1, 0, 1]"
20:26:57,"[1, 0, 0, 0, 1, 0, 1]"
20:27:00,"[1, 0, 0, 1, 0, 0, 1]"
20:27:04,"[1, 0, 0, 0, 1, 0, 1]"
20:27:07,"[1, 0, 1, 1, 1, 0, 1]"
20:27:10,"[1, 0, 0, 0, 1, 1, 1]"
20:27:14,"[1, 0, 1, 1, 0, 0, 1]"
20:27:17,"[1, 1, 0, 1, 1, 0, 1]"
20:27:20,"[1, 1, 1, 0, 1, 0, 1]"
20:27:24,"[1, 1, 1, 1, 0, 0, 1]"
20:27:27,"[1, 0, 0, 1, 0, 1, 1]"
20:32:04,"[1, 0, 1, 1, 1, 0, 1]"
20:32:08,"[1, 0, 0, 1, 0, 0, 1]"
20:32:12,"[1, 0, 0, 0, 1, 0, 1]"
20:32:15,"[1, 1, 1, 0, 0, 0, 1]"
20:32:19,"[1, 1, 0, 0, 0, 0, 1]"
20:32:23,"[1, 0, 1, 0, 1, 0, 1]"
20:32:26,"[1, 1, 1, 0, 1, 1, 1]"
20:32:29,"[1, 0, 0, 0, 1, 0, 1]"
20:32:33,"[1, 1, 0, 0, 0, 0, 1]"
20:32:37,"[1, 0, 1, 0, 1, 0, 1]"
20:32:40,"[1, 0, 1, 0, 0, 0, 1]"
20:32:44,"[1, 1, 1, 0, 0, 0, 1]"
20:32:48,"[1, 0, 0, 1, 1, 0, 1]"
20:32:51,"[1, 0, 1, 0, 1, 1, 1]"
20:32:54,"[1, 0, 0, 0, 0, 1, 1]"
20:32:58,"[1, 1, 0, 1, 0, 0, 1]"
20:33:01,"[1, 0, 0, 1, 0, 0, 1]"
20:33:05,"[1, 1, 0, 1, 0, 1, 1]"
20:33:09,"[1, 0, 0, 1, 1, 1, 1]"
20:33:12,"[1, 1, 1, 1, 0, 0, 1]"
20:33:15,"[1, 1, 0, 1, 0, 0, 1]"
20:33:19,"[1, 1, 0, 1, 0, 1, 1]"
20:33:22,"[1, 1, 0, 0, 1, 1, 1]"
20:33:26,"[1, 0, 0, 1, 1, 1, 1]"
20:33:29,"[1, 1, 0, 1, 0, 0, 1]"
20:33:32,"[1, 0, 0, 0, 1, 0, 1]"
20:33:36,"[1, 1, 1, 1, 1, 1, 1]"
20:33:39,"[1, 1, 1, 1, 0, 1, 1]"
20:33:42,"[1, 0, 0, 1, 0, 0, 1]"
